MSU,TPM Norm,TPM IsoForest,TPM SD,TPM SDmean,TPM MeanCorr,TPM PC1,TPM PC2,DESeq Norm,DESeq IsoForest,DESeq SD,DESeq SDmean,DESeq MeanCorr,DESeq PC1,DESeq PC2,DESeq Mock,DESeq Attack,DESeq Old,DESeq New,LFC New,LFC Attack
LOC_Os12g42810,29.329905049160278,0.15153014796369801,4.2175886686147965,1.0988511543665829,0.513280722751663,-0.712306,-0.24786358,1210.6887528446289,0.1486787592478741,173.3407777983951,1.0886336356655524,0.5174112551156426,-0.9013152,-0.39459464,99.8010932203155,179.0897792998745,0.0,251.69621426273025,0.14700743936116895,0.015420542940899666
LOC_Os12g42840,139.60774822502515,0.10736463640575755,20.69065800365388,1.175878580114649,0.5760950428907091,-0.4874638,0.17381053,5677.845451974008,0.10005620401731746,842.6574097273037,1.1796964165043908,0.5699446281234205,-0.5372538,0.27647647,645.6500151031398,15.340575621047499,1455.2846833824642,3.4797394420797287,-0.9421444709384817,-0.5991191419081452
LOC_Os12g42850,684.5030098768236,-0.005046457827987072,43.04112189262357,0.3449413668455135,0.4769939328252241,1.1260257,0.8118606,44347.913882867746,-0.1231066773728573,2511.297414586661,0.3073338627644063,0.4368630188788371,3.3487995,2.49115,9644.543507384325,6724.337186279748,9846.164734681442,6647.956413643147,-0.17055771735661626,-0.15661264099154046
LOC_Os12g42860,138.317292514007,0.1446174218086635,11.916439666785786,0.49832182323260393,0.4280491811273594,-0.40701392,0.012576071,5307.945699496455,0.132907350576546,443.0272240534685,0.4792667858724432,0.39498525767726705,-0.4860236,0.005147473,1202.1861024329853,695.7874473722022,1269.1042259264327,604.5795210661283,-0.16804510392095667,-0.12393441620923332
LOC_Os12g42870,58.37106337741059,0.1665092136224034,1.2804527869768214,0.11470485422964417,0.20762956629991905,-0.5987359,-0.1614383,3000.9054435417647,0.1572110307864007,77.992916228917,0.13624864730938657,0.3071134209563363,-0.67949903,-0.23362166,606.3161195764201,559.5721583338762,530.6886549697119,590.1011721949178,0.011599720613913487,-0.008770381613152606
LOC_Os12g42876,5007.8453680556295,-0.28690175406088314,371.5379351780009,0.4164590029446019,0.40774423455477177,13.352609,7.1501937,258910.76931609484,-0.3212837470855947,18054.5496994637,0.38767634727969585,0.34801751709790874,24.672894,15.804029,33155.02148146184,56430.84538504878,54300.92981500362,39292.83223312982,-0.14049087750888023,0.2309618400827077
LOC_Os12g42884,2111.3504894993307,-0.2109767244132258,144.00674132160395,0.37800577907573696,0.41510678244751725,5.213554,2.821076,141586.72607599795,-0.2864798773665048,8620.96405704472,0.3328320094474869,0.35329377791115196,13.197886,8.463526,21453.961541374345,30813.608453385354,27227.248149134673,21966.34204956818,-0.09324218756150007,0.15722891334351152
LOC_Os12g42910,7.5621613101877285,0.15946871359141346,0.90527350934739,0.7853133479165249,0.15583635950801833,-0.7489319,-0.20524065,354.5460113357448,0.1585944744912205,42.4518383868069,0.7855728819025181,0.1722321789642729,-0.9419211,-0.339989,44.904185051695876,40.761440537930625,32.55312640532277,69.03259029471374,0.00710390168184827,-0.0009131275898602633
LOC_Os12g42960,12.816566328187625,0.16442484705424926,0.9700369946095451,0.4263026003844036,0.38356122770477463,-0.73175347,-0.18952805,601.4168262994435,0.1647037182926872,41.50522365046257,0.3831025182382673,0.33041549096487804,-0.91184306,-0.30929917,121.67244752183774,95.7007734368806,136.79416700317313,74.70917441735318,-0.013089814137301217,-0.005199897442531603
LOC_Os12g42970,52.3962614325154,0.16254604992366445,4.037088563491215,0.4353662662581213,0.46280002027408196,-0.62610984,-0.12354121,1711.4598809025965,0.15938314634722311,124.21064068913495,0.4059341820006857,0.42707451385005935,-0.8080691,-0.23116466,401.71918098325443,240.13460990101072,427.4647104628265,222.84391816135746,-0.057819221755481674,-0.04567444904827062
LOC_Os12g42980,1226.3756025134956,-0.11382165380857934,91.01973880146136,0.4166379160699859,0.36043730690826076,2.5288935,1.4505743,55304.967495181794,-0.15792616972223517,3962.4778861691325,0.39993776376691687,0.3152387935679176,4.180737,2.836609,11912.969967890558,7988.589465157894,11621.040847001977,8691.023181885912,-0.12616152155703522,-0.17353203679701706
LOC_Os12g43000,4.216029980469267,0.16085212102156604,0.3596593975536463,0.4922842727512521,0.35224141498221434,-0.7551722,-0.20148247,250.75663423071094,0.15992589052850653,19.98978470510872,0.45337099920963275,0.3014891566780208,-0.945861,-0.3307066,44.41408542408588,42.398610719081965,48.18934341485034,39.74150751516794,-0.0012958775693653057,-0.00031219197434164883
LOC_Os12g43100,85.60781008558922,0.16559473325422364,2.6223845687297924,0.16114927201118506,0.4489985545748492,-0.51915413,-0.11198725,2728.5493492980822,0.15952876310240932,63.750580919219615,0.12227517535391413,0.2870000498558632,-0.6977614,-0.20895344,533.9824393301715,495.5782657618248,553.7286148457413,494.18568607803013,-0.018125712720854607,-0.011891507056409057
LOC_Os12g43120,50.15976078880151,0.15947598841646493,3.429265813615056,0.379020595959735,0.5495744182047616,-0.63202405,-0.22009169,4169.9127932799365,0.14831514708942423,310.28265389107986,0.41789266867403635,0.5642685559720914,-0.61069393,-0.34514824,677.8938216852475,849.2621695067237,435.1399601873668,1035.488854420706,0.07206024888669191,0.01873699179702877
LOC_Os12g43130,1602.9522436056805,-0.1519694673728761,214.90616043402792,0.9545172598434303,0.534367510262296,2.618789,-2.1877038,59408.777452031834,-0.1540125940777638,8038.373338365843,0.9712577165748636,0.5308449927547625,2.8325095,-2.452724,2977.5198556237465,15493.502967841869,607.2321648224099,15493.502967841869,1.406108266531996,0.7161771499448992
LOC_Os12g43340,1007.8837851462245,-0.08530757663734101,126.84468473810148,0.8526777101279553,0.5291056396725027,1.4561859,-1.3184613,20467.526112897325,0.004925991467705115,2617.647529193108,0.8765886597756708,0.5274199877501176,0.4063561,-0.97215426,1645.8761893588667,4938.205528068136,542.7896445423007,4938.685589117724,0.9582683739655361,0.4769961476740455
